>> 2023-08-11 14:37:50.540618 >> >> __main__.POSCAR.load(): >> called with >>(<__main__.POSCAR object at 0x7ff05f95c5e0>,) - {'file_name': '/home/akaris/Documents/code/Physics/VASP/v5.0/files/POSCAR/Magnetita'}
>> 2023-08-11 14:37:50.541260 >> >> __main__.POSCAR.export_PDB(): >> called with >>(<__main__.POSCAR object at 0x7ff05f95c5e0>, '/home/akaris/Documents/code/Physics/VASP/v5.0/files/POSCAR/Magnetita.o') - {}
>> 2023-08-11 14:37:50.541605 >> >> __main__.POSCAR.direct_to_cartesian(): >> called with >>(<__main__.POSCAR object at 0x7ff05f95c5e0>,) - {}
>> 2023-08-11 14:39:40.314310 >> >> __main__.POSCAR.load(): >> called with >>(<__main__.POSCAR object at 0x7f2b216f05e0>,) - {'file_name': '/home/akaris/Documents/code/Physics/VASP/v5.0/files/POSCAR/Magnetita/CONTCAR-SCV'}
>> 2023-08-11 14:39:40.325314 >> >> __main__.POSCAR.export_PDB(): >> called with >>(<__main__.POSCAR object at 0x7f2b216f05e0>, '/home/akaris/Documents/code/Physics/VASP/v5.0/files/POSCAR/Magnetita/CONTCAR-SCV.o') - {}
>> 2023-08-11 14:39:40.325563 >> >> __main__.POSCAR.direct_to_cartesian(): >> called with >>(<__main__.POSCAR object at 0x7f2b216f05e0>,) - {}
>> 2023-08-11 14:39:50.367940 >> >> __main__.POSCAR.load(): >> called with >>(<__main__.POSCAR object at 0x7f367b36c5e0>,) - {'file_name': '/home/akaris/Documents/code/Physics/VASP/v5.0/files/POSCAR/Magnetita/CONTCAR-SCV-Pt-row'}
>> 2023-08-11 14:39:50.378746 >> >> __main__.POSCAR.export_PDB(): >> called with >>(<__main__.POSCAR object at 0x7f367b36c5e0>, '/home/akaris/Documents/code/Physics/VASP/v5.0/files/POSCAR/Magnetita/CONTCAR-SCV-Pt-row.o') - {}
>> 2023-08-11 14:39:50.379009 >> >> __main__.POSCAR.direct_to_cartesian(): >> called with >>(<__main__.POSCAR object at 0x7f367b36c5e0>,) - {}
>> 2023-08-11 15:23:05.238429 >> >> __main__.POSCAR.load(): >> called with >>(<__main__.POSCAR object at 0x7fc272c505e0>,) - {'file_name': '/home/akaris/Documents/code/Physics/VASP/v5.0/files/POSCAR/Magnetita/CONTCAR-SCV_2layers'}
>> 2023-08-11 15:23:05.249523 >> >> __main__.POSCAR.export_PDB(): >> called with >>(<__main__.POSCAR object at 0x7fc272c505e0>, '/home/akaris/Documents/code/Physics/VASP/v5.0/files/POSCAR/Magnetita/CONTCAR-SCV_2layers.o') - {}
>> 2023-08-11 15:23:05.249950 >> >> __main__.POSCAR.direct_to_cartesian(): >> called with >>(<__main__.POSCAR object at 0x7fc272c505e0>,) - {}
>> 2023-08-11 19:15:09.378175 >> >> __main__.POSCAR.load(): >> called with >>(<__main__.POSCAR object at 0x7f436eba05e0>,) - {'file_name': '/home/akaris/Documents/code/Physics/VASP/v5.0/files/POSCAR/Magnetita/CONTCAR-SCV'}
>> 2023-08-11 19:15:09.381332 >> >> __main__.POSCAR.load(): >> called with >>(<__main__.POSCAR object at 0x7f436eba05e0>,) - {'file_name': '/home/akaris/Documents/code/Physics/VASP/v5.0/files/POSCAR/Magnetita/CONTCAR-SCV'}
